yrsInLeague,ERA,HR9,WHIP,SO9,ASG_Result
6,2.958,0.667,1.259,5.917,YES
2,3.112,0.379,1.318,7.065,YES
3,3.202,0.534,1.269,4.589,YES
5,3.24,0.81,1.273,5.554,YES
2,2.273,0.703,1.196,9.361,YES
5,4.418,1.129,1.505,5.302,YES
3,3.006,0.483,1.235,6.173,YES
4,2.605,0.947,0.921,10.461,YES
1,4.253,0.971,1.459,4.577,YES
9,2.938,0.42,1.259,6.575,YES
2,3.035,0.837,1.116,10.047,YES
7,3.846,0.894,1.239,7.653,YES
6,3.871,1.035,1.279,6.375,YES
5,2.408,1.032,0.783,13.758,YES
6,3.857,1.543,1.217,8.486,YES
4,3.35,0.591,1.04,11.628,YES
7,4.684,1.378,1.638,7.026,YES
4,4.165,0.621,1.336,6.832,YES
4,4.438,0.832,1.654,5.178,YES
4,2.723,0.794,1.197,10.097,YES
5,2.186,0.547,1.433,10.275,YES
2,2.725,0.689,1.1,7.142,YES
16,3.316,1.092,1.075,5.736,YES
4,3.458,0.931,1.389,3.591,YES
0,4.645,1.161,1.645,6.387,YES
1,3.818,1.636,1.091,12.545,YES
5,3.844,0.617,1.26,5.077,YES
1,2.94,0.871,1.343,9.036,YES
5,4.464,1.291,1.321,6.454,YES
3,3.754,1.109,1.242,7.422,YES
12,3.754,0.81,1.308,4.521,YES
4,4.35,1.166,1.455,4.934,YES
9,3.375,0.878,1.156,6.935,YES
6,3.444,0.808,1.323,4.72,YES
4,1.09,0.605,0.565,12.229,YES
4,3.321,0.571,1.238,4.25,YES
1,3.431,0.587,1.169,9.03,YES
2,2.634,0.576,0.997,6.585,YES
8,3.774,1.5,1.323,4.645,YES
3,3.468,0.537,1.229,8.174,YES
3,3.82,0.878,1.298,7.244,YES
4,3.892,0.851,1.514,9.851,YES
9,3.342,1.059,1.085,6.816,YES
2,3.229,0.673,1.311,7.669,YES
2,3.394,0.771,1.179,6.21,YES
11,2.531,0.482,0.924,8.679,YES
11,4.103,0.662,1.353,9.926,YES
8,4.527,0.808,1.449,4.904,YES
6,4.41,1.291,1.203,6.884,YES
2,3.197,0.539,1.228,4.969,YES
3,3.066,0.791,1.209,11.077,YES
