HR,RBI,AVG,OPS,yrsInLeague,ASG_Result
12,74,0.270168856,0.739672261,4,YES
4,52,0.277147488,0.667737516,1,YES
7,67,0.291196388,0.817116154,4,YES
32,105,0.251336898,0.833549903,4,YES
12,51,0.244552058,0.691831161,4,YES
13,70,0.277573529,0.768815568,6,YES
21,91,0.258527828,0.75561856,1,YES
7,46,0.254854369,0.687571993,5,YES
20,69,0.267489712,0.777161635,4,YES
8,49,0.253424658,0.655647413,2,YES
22,92,0.279232112,0.788996137,11,YES
25,107,0.288808664,0.876449157,5,YES
30,85,0.243809524,0.78407281,2,YES
22,66,0.280289331,0.858320568,4,YES
16,56,0.306451613,0.848728151,1,YES
7,42,0.290740741,0.748464912,2,YES
19,65,0.275862069,0.799508718,2,YES
1,20,0.24535316,0.61598513,0,YES
24,72,0.269487751,0.8175514,4,YES
34,99,0.255499154,0.804429815,8,YES
19,77,0.273037543,0.795744595,3,YES
7,56,0.295345104,0.723047182,1,YES
15,46,0.238095238,0.752319902,8,YES
0,23,0.210762332,0.500997568,3,YES
12,61,0.303258145,0.83604281,2,YES
31,106,0.278409091,0.889956811,5,YES
24,82,0.238568588,0.765364569,1,YES
9,35,0.278810409,0.751784257,2,YES
20,63,0.271111111,0.79729547,9,YES
9,45,0.238,0.64615942,5,YES
3,29,0.275590551,0.672543649,3,YES
38,105,0.238853503,0.77393124,7,YES
20,64,0.271428571,0.806759941,1,YES
6,46,0.293918919,0.82754372,1,YES
6,48,0.325581395,0.800992738,5,YES
13,37,0.21761658,0.64917962,2,YES
15,59,0.272727273,0.731991873,10,YES
15,60,0.268370607,0.813752541,6,YES
20,101,0.29982669,0.876570702,7,YES
6,55,0.3248,0.822685237,2,YES
5,49,0.279646018,0.71478696,8,YES
28,89,0.249169435,0.760046352,4,YES
5,54,0.280952381,0.670995671,1,YES
7,58,0.297427653,0.705025209,3,YES
3,32,0.280660377,0.688578455,5,YES
10,44,0.259259259,0.691134573,2,YES
12,79,0.292436975,0.754425174,3,YES
10,75,0.279220779,0.72092319,4,YES
1,32,0.302961276,0.699962528,5,YES
24,93,0.300518135,0.882944538,3,YES
19,81,0.286701209,0.780376676,3,YES
27,90,0.275179856,0.832034051,7,YES
4,59,0.238831615,0.614734881,3,YES
29,91,0.248565966,0.840254038,2,YES
27,108,0.304140127,0.886419943,4,YES
10,67,0.316190476,0.805384615,2,YES
9,36,0.255364807,0.672184754,0,YES
6,40,0.282926829,0.753928961,5,YES
20,55,0.22037422,0.741562119,10,YES
12,57,0.245382586,0.742016507,4,YES
11,51,0.204610951,0.672358668,7,YES
19,71,0.253588517,0.802537446,3,YES
8,37,0.258181818,0.648805947,1,YES
27,88,0.28314239,0.803055101,0,YES
17,54,0.218446602,0.704048644,0,YES
9,57,0.270440252,0.710966162,2,YES
23,78,0.251290878,0.767598713,5,YES
12,42,0.196491228,0.662209578,8,YES
9,79,0.306799337,0.809431735,4,YES
8,45,0.255591054,0.70345459,4,YES
27,84,0.289424861,0.905459153,4,YES
15,49,0.225464191,0.727844274,2,YES
18,62,0.284810127,0.828014226,6,YES
14,76,0.257191201,0.713846714,1,YES
12,47,0.269230769,0.715680259,3,YES
15,51,0.28,0.865174825,5,YES
35,109,0.27866242,0.810240964,4,YES
11,59,0.232510288,0.657306397,2,YES
31,113,0.266881029,0.801397441,4,YES
4,62,0.288059701,0.710205953,3,YES
29,94,0.304042179,0.902765495,4,YES
14,96,0.271944923,0.729532636,8,YES
2,20,0.24567474,0.650701147,3,YES
23,78,0.300215983,0.874522915,6,YES
3,41,0.300215983,0.754820889,0,YES
2,31,0.270642202,0.669474212,4,YES
7,77,0.303921569,0.770577712,3,YES
8,93,0.305227656,0.773901667,10,YES
30,100,0.281733746,0.84877021,3,YES
7,70,0.294,0.78121815,3,YES
25,82,0.266666667,0.751958382,3,YES
6,50,0.272727273,0.739879769,3,YES
42,110,0.280442804,0.940735945,7,YES
26,84,0.275337838,0.848351113,3,YES
8,50,0.303724928,0.766264268,4,YES
15,54,0.212253829,0.63159141,3,YES
8,50,0.277404922,0.760097376,5,YES
10,55,0.297297297,0.7913037,2,YES
44,134,0.272251309,0.948066825,6,YES
