G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,yrsInLeague,ASG_Result
142,533,77,144,35,2,12,74,42,16,48,63,1,1,3,5,18,4,YES
154,617,90,171,21,3,4,52,32,15,45,108,1,4,19,6,17,1,YES
142,443,52,129,25,8,7,67,10,5,69,70,16,0,2,1,11,4,YES
154,561,101,141,35,3,32,105,34,15,71,104,8,5,0,5,6,4,YES
120,413,59,101,18,2,12,51,4,4,34,115,0,4,0,2,9,4,YES
154,544,62,151,25,2,13,70,2,2,79,76,6,0,2,5,14,6,YES
149,557,65,144,36,3,21,91,12,5,40,149,0,3,6,6,13,1,YES
133,412,42,105,15,0,7,46,3,2,52,47,2,6,4,2,14,5,YES
126,486,68,130,22,2,20,69,32,9,45,77,2,5,2,5,14,4,YES
154,584,65,148,27,5,8,49,25,10,35,139,2,4,11,5,9,2,YES
162,573,79,160,34,1,22,92,9,7,49,81,9,1,1,10,13,11,YES
151,554,96,160,39,1,25,107,16,5,74,127,6,13,0,12,6,5,YES
149,525,64,128,25,1,30,85,1,0,57,180,6,1,0,3,10,2,YES
141,553,112,155,26,13,22,66,12,4,71,111,1,3,1,1,7,4,YES
112,434,63,133,27,8,16,56,11,8,16,78,5,2,0,2,9,1,YES
152,540,75,157,27,1,7,42,14,9,60,37,2,5,8,3,15,2,YES
143,493,65,136,26,3,19,65,6,7,49,105,2,2,3,1,15,2,YES
78,269,27,66,12,2,1,20,8,3,14,47,4,7,3,0,7,0,YES
133,449,54,121,26,4,24,72,0,0,29,72,8,1,2,5,5,4,YES
158,591,103,151,26,0,34,99,22,9,56,71,9,18,0,12,15,8,YES
158,586,80,160,31,3,19,77,2,8,85,70,3,1,23,7,16,3,YES
158,623,82,184,27,1,7,56,42,17,53,76,4,1,17,8,10,1,YES
124,315,35,75,12,1,15,46,0,3,43,49,7,1,0,5,7,8,YES
122,446,42,94,11,3,0,23,10,6,24,31,8,1,4,1,5,3,YES
97,399,73,121,19,6,12,61,21,5,36,52,2,5,2,4,8,2,YES
153,528,84,147,19,1,31,106,4,1,105,135,26,2,0,7,14,5,YES
145,503,68,120,32,3,24,82,7,2,49,191,4,2,0,1,12,1,YES
84,269,26,75,10,2,9,35,1,0,16,39,2,1,0,1,2,2,YES
127,450,65,122,28,0,20,63,3,1,40,105,1,1,1,2,5,9,YES
143,500,49,119,20,2,9,45,11,13,47,56,8,3,4,2,12,5,YES
97,381,39,105,16,1,3,29,6,4,25,60,0,5,11,3,10,3,YES
162,628,78,150,26,3,38,105,8,5,58,170,4,2,3,6,7,7,YES
100,350,51,95,11,0,20,64,0,0,27,68,6,7,2,4,12,1,YES
114,296,44,87,22,5,6,46,1,1,34,63,2,3,0,7,10,1,YES
130,473,61,154,29,2,6,48,3,1,29,75,3,3,2,1,11,5,YES
120,386,34,84,13,1,13,37,1,0,40,91,6,2,2,4,20,2,YES
126,418,44,114,19,1,15,59,3,2,17,67,1,1,3,2,13,10,YES
88,313,41,84,19,0,15,60,1,1,36,93,0,0,0,3,9,6,YES
158,577,99,173,35,1,20,101,22,9,109,126,13,2,0,7,13,7,YES
158,625,109,203,31,4,6,55,3,2,89,44,6,0,8,4,13,2,YES
153,565,89,158,23,6,5,49,43,12,57,58,1,2,16,2,16,8,YES
162,602,82,150,25,6,28,89,19,15,53,170,4,4,0,9,14,4,YES
151,630,80,177,18,9,5,54,55,10,26,102,4,1,1,3,5,1,YES
152,622,82,185,13,5,7,58,16,12,36,48,4,2,6,2,8,3,YES
117,424,66,119,13,3,3,32,26,11,37,71,0,4,4,3,6,5,YES
123,459,47,119,27,0,10,44,2,3,30,110,1,3,0,2,10,2,YES
162,595,75,174,24,3,12,79,2,2,52,135,2,5,0,6,14,3,YES
158,616,67,172,41,4,10,75,14,4,28,94,2,5,4,5,16,4,YES
102,439,54,133,10,7,1,32,34,8,18,42,3,4,3,1,5,5,YES
158,579,89,174,37,3,24,93,5,2,76,110,2,6,1,6,15,3,YES
153,579,84,166,30,2,19,81,30,10,27,123,3,19,3,5,14,3,YES
151,556,79,153,34,3,27,90,4,1,48,107,1,10,0,8,16,7,YES
158,582,42,139,24,3,4,59,17,6,53,70,4,3,7,4,17,3,YES
151,523,81,130,31,9,29,91,6,1,64,154,5,3,0,4,13,2,YES
158,628,123,191,41,1,27,108,9,2,85,85,2,3,1,9,14,4,YES
139,525,73,166,31,2,10,67,9,5,40,88,1,3,6,4,8,2,YES
132,466,49,119,21,1,9,36,5,6,34,29,8,3,1,1,5,0,YES
132,410,49,116,23,0,6,40,1,0,48,48,10,10,3,1,7,5,YES
139,481,90,106,14,5,20,55,14,11,91,102,9,4,1,4,11,10,YES
112,379,50,93,19,2,12,57,1,0,53,91,2,3,0,2,9,4,YES
113,347,41,71,16,4,11,51,4,3,43,94,2,8,5,4,4,7,YES
125,418,67,106,12,0,19,71,4,2,90,58,4,4,0,9,6,3,YES
136,550,66,142,13,6,8,37,28,20,33,139,1,2,4,2,3,1,YES
160,611,81,173,29,2,27,88,0,1,48,104,6,1,0,6,22,0,YES
123,412,45,90,12,1,17,54,2,4,68,72,6,1,1,4,8,0,YES
132,477,61,129,21,7,9,57,10,3,23,108,0,7,2,5,12,2,YES
159,581,95,146,23,3,23,78,15,10,87,100,5,2,4,6,7,5,YES
89,285,36,56,12,0,12,42,5,0,41,66,4,2,2,5,4,8,YES
158,603,72,185,37,5,9,79,6,1,72,36,8,4,2,8,14,4,YES
