yearID,playerID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,ASG_Result,playerType
1975,fostege01,134,463,71,139,24,4,23,78,2,1,40,73,11,3,0,5,14,YES,POS
2001,tejadmi01,162,622,107,166,31,3,31,113,11,5,43,89,5,13,1,4,14,YES,POS
1995,hundlto01,90,275,39,77,11,0,15,51,1,0,42,64,5,5,1,3,4,YES,POS
2004,izturce01,159,670,90,193,32,9,4,62,25,9,43,70,2,0,12,3,6,YES,POS
2000,rolliji01,14,53,5,17,1,1,0,5,3,0,2,7,0,0,0,0,0,YES,POS
2013,gordode01,38,94,9,22,1,1,1,6,10,2,10,21,2,1,1,0,0,YES,POS
1984,baineha01,147,569,72,173,28,10,29,94,1,2,54,75,9,0,1,5,12,YES,POS
1976,hislela01,155,581,81,158,19,5,14,96,31,18,56,93,4,4,11,9,11,YES,POS
1975,boonebo01,97,289,28,71,14,2,2,20,1,3,32,14,6,1,6,1,8,YES,POS
1993,garcica01,141,546,77,147,25,5,12,47,18,11,31,67,2,9,6,5,9,YES,POS
1971,scheiri01,27,49,5,7,3,0,0,4,0,0,8,5,0,0,0,0,2,YES,POS
1973,cashda01,116,436,59,118,21,2,2,31,2,5,38,36,0,0,3,2,8,YES,POS
1994,offerjo01,72,243,27,51,8,4,1,25,2,1,38,38,4,0,6,2,6,YES,POS
1970,daviswi02,146,593,92,181,23,16,8,93,38,14,29,54,2,1,8,6,6,YES,POS
2007,gonzaad01,161,646,101,182,46,3,30,100,0,0,65,140,9,3,0,6,6,YES,POS
1971,mayca01,141,500,64,147,21,7,7,70,16,7,62,61,5,6,1,5,16,YES,POS
1971,simmote01,133,510,64,155,32,4,7,77,1,3,36,50,3,3,4,10,20,YES,POS
2012,encared01,151,542,93,152,24,0,42,110,13,3,84,94,12,11,0,7,6,YES,POS
1999,jonesan01,162,592,97,163,35,5,26,84,24,12,76,103,11,9,0,2,12,YES,POS
2010,castrst01,125,463,53,139,31,5,3,41,10,8,29,71,7,6,4,4,14,YES,POS
2001,winnra01,128,429,54,117,25,6,6,50,12,10,38,81,0,6,5,2,10,YES,POS
1973,garvest01,114,349,37,106,17,3,8,50,0,2,11,42,4,3,0,3,8,YES,POS
2003,belliro01,116,447,73,124,31,2,8,50,7,2,49,71,0,2,6,1,7,YES,POS
2014,moustmi01,140,457,45,97,21,1,15,54,1,0,35,74,1,3,1,4,12,YES,POS
1976,templga01,53,213,32,62,8,2,1,17,11,7,7,33,0,1,2,2,1,YES,POS
1979,cruzjo01,157,558,73,161,33,7,9,72,36,14,72,66,16,0,1,5,5,YES,POS
1992,grissma02,159,653,99,180,39,6,14,66,78,13,42,81,6,5,3,4,12,YES,POS
2011,freesda01,97,333,41,99,16,1,10,55,1,0,24,75,0,4,0,2,18,YES,POS
1987,galaran01,147,551,72,168,40,3,13,90,7,10,41,127,13,10,0,4,11,YES,POS
2016,confomi01,109,304,38,67,21,1,12,42,2,1,36,89,2,5,0,3,6,YES,POS
1999,delgaca01,152,573,113,156,39,0,44,134,1,1,86,141,7,15,0,7,11,YES,POS
1993,aloumo01,136,482,70,138,29,6,18,85,17,6,38,53,9,5,3,7,9,YES,POS
1974,luzingr01,85,302,29,82,14,1,7,48,3,0,29,76,3,0,0,5,8,YES,POS
1981,durhale01,87,328,42,95,14,6,10,35,25,11,27,53,6,0,0,0,6,YES,POS
2002,youngdm01,54,201,25,57,14,0,7,27,2,0,12,39,5,2,0,1,12,YES,POS
1983,engleda01,120,374,46,114,22,4,8,43,2,1,28,39,1,1,0,5,13,YES,POS
1983,garcida01,131,525,84,161,23,6,3,38,31,17,24,34,3,2,5,5,10,YES,POS
2011,troutmi01,40,123,20,27,6,0,5,16,4,0,9,30,0,2,0,1,2,YES,POS
1975,swishst01,93,254,20,54,16,2,1,22,1,0,30,57,7,4,6,4,15,YES,POS
1999,sweenmi01,150,575,101,185,44,2,22,102,6,1,54,48,0,10,0,4,21,YES,POS
1974,madlobi01,128,453,65,142,21,5,9,54,11,7,42,39,8,5,3,6,15,YES,POS
1985,fernato01,161,564,71,163,31,10,2,51,13,6,43,41,2,2,7,2,12,YES,POS
1999,girarjo01,65,209,23,50,16,1,2,27,3,1,10,26,0,0,8,2,16,YES,POS
